seed,tau,Group,rs,rm
28,0.4,Overall,0.849478390461997,0.8777943368107303
28,0.4,High-Risk,0.9254901960784314,0.9529411764705882
28,0.4,Low-Risk,0.7597402597402597,0.7662337662337663
28,0.5,Overall,0.7555886736214605,0.7555886736214605
28,0.5,High-Risk,0.8549019607843137,0.8666666666666667
28,0.5,Low-Risk,0.6103896103896104,0.5974025974025974
28,0.6,Overall,0.6304023845007451,0.5886736214605067
28,0.6,High-Risk,0.7843137254901961,0.7372549019607844
28,0.6,Low-Risk,0.38961038961038963,0.35714285714285715
28,0.7,Overall,0.47093889716840537,0.4038748137108793
28,0.7,High-Risk,0.615686274509804,0.5333333333333333
28,0.7,Low-Risk,0.22077922077922077,0.18181818181818182
29,0.3,Overall,0.9046199701937406,0.9314456035767511
29,0.3,High-Risk,0.9556451612903226,0.9717741935483871
29,0.3,Low-Risk,0.847682119205298,0.9006622516556292
29,0.4,Overall,0.834575260804769,0.8464977645305514
29,0.4,High-Risk,0.9153225806451613,0.9233870967741935
29,0.4,Low-Risk,0.7218543046357616,0.7549668874172185
29,0.5,Overall,0.7317436661698957,0.7526080476900149
29,0.5,High-Risk,0.8467741935483871,0.8629032258064516
29,0.5,Low-Risk,0.5562913907284768,0.6357615894039735
29,0.6,Overall,0.6229508196721312,0.5812220566318927
29,0.6,High-Risk,0.7862903225806451,0.75
29,0.6,Low-Risk,0.3973509933774834,0.36423841059602646
29,0.7,Overall,0.46944858420268254,0.40238450074515647
29,0.7,High-Risk,0.6330645161290323,0.5766129032258065
29,0.7,Low-Risk,0.2185430463576159,0.1390728476821192
30,0.3,Overall,0.8971684053651267,0.9165424739195231
30,0.3,High-Risk,0.9688715953307393,0.980544747081712
30,0.3,Low-Risk,0.7748344370860927,0.8344370860927153
30,0.4,Overall,0.8256333830104322,0.8360655737704918
30,0.4,High-Risk,0.9182879377431906,0.9299610894941635
30,0.4,Low-Risk,0.6754966887417219,0.695364238410596
30,0.5,Overall,0.7049180327868853,0.7242921013412816
30,0.5,High-Risk,0.8638132295719845,0.8521400778210116
30,0.5,Low-Risk,0.45695364238410596,0.5231788079470199
30,0.6,Overall,0.6080476900149031,0.5812220566318927
30,0.6,High-Risk,0.7665369649805448,0.7276264591439688
30,0.6,Low-Risk,0.3509933774834437,0.33774834437086093
